,file_path,sentence,section,0,0_span,weight_0
1,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"  Chapter 1: Framing and Context of the Report — Special Report on the Ocean and Cryosphere in a Changing Climate             Special Report: Special Report on the Ocean and Cryosphere in a Changing Climate Ch 01 Framing and Context of the Report     Download (pdf, 2 MB) Authors FAQ Figures         Coordinating Lead Authors:  Nerilie Abram (Australia) Jean-Pierre Gattuso (France) Anjal Prakash (India, Nepal)    Lead Authors:  Lijing Cheng (China) María Paz Chidichimo (Argentina) Susan Crate (United States) Hiroyuki Enomoto (Japan) Matthias Garschagen (Germany) Nicolas Gruber (Switzerland) Sherilee Harper (Canada) Elisabeth Holland (United States) Raphael Martin Kudela (United States) Jake Rice (Canada) Konrad Steffen (Canada) Karina Von Schuckmann (Germany)    Contributing Authors:  Nathaniel L. Bindoff (Australia) Sinead Collins (United Kingdom) Rebecca Colvin (Australia) Daniel Farinotti (Switzerland) Nathalie Hilmi (Monaco, France) Jochen Hinkel (Germany) Regine Hock (United States) Alexandre K. Magnan (France) Michael Meredith (United Kingdom) Avash Pandey (Nepal) Mandira Singh Shrestha (Nepal) Anna Sinisalo (Nepal, Finland) Catherine Sutherland (South Africa) Phillip Williamson (United Kingdom)    Review Editors:  Monika Rhein (Germany) David Schoeman (Australia)    Chapter Scientists:  Avash Pandey (Nepal) Bethany Ellis (Australia)        FAQ 1.1: How do changes in the ocean and cryosphere affect our life on planet Earth?",HTML,"Monaco, France, Germany, Japan, Switzerland, Finland, United Kingdom, Nepal, India, Canada, Argentina, Australia, South Africa","(933, 939), (375, 381), (558, 565), (530, 535), (583, 594), (1138, 1145), (843, 857), (405, 410), (398, 403), (613, 619), (473, 482), (343, 352), (1169, 1181)",13
30,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,Enhanced warming in the Arctic and in high mountains is causing rapid surface melt of glaciers and the Greenland ice sheet.,HTML,Greenland,"(103, 112)",1
100,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Most glaciers are shrinking (high confidence), the Greenland and Antarctic ice sheets are losing mass (high confidence), sea ice extent in the Arctic is decreasing (very high confidence), Northern Hemisphere snow cover is decreasing (very high confidence), and permafrost temperatures are increasing (high confidence).",HTML,Greenland,"(51, 60)",1
200,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,The largest ice bodies on Earth are the Greenland and Antarctic ice sheets.,HTML,Greenland,"(40, 49)",1
215,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Changes in the cryosphere include the decline of Arctic sea ice extent, Antarctic and Greenland ice sheet mass loss, glacier mass loss, permafrost thaw …   Box 1.1, Figure 1 | Climate change-related effects in the ocean include sea level rise, increasing ocean heat n content and marine heat waves, ocean deoxygenation, and ocean acidification (Section 1.4.1).",HTML,Greenland,"(86, 95)",1
216,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"Changes in the cryosphere include the decline of Arctic sea ice extent, Antarctic and Greenland ice sheet mass loss, glacier mass loss, permafrost thaw and decreasing snow cover extent (Section 1.4.2).",HTML,Greenland,"(86, 95)",1
241,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"The vast ice sheets in Antarctica and Greenland currently hold about 66 m of potential global sea level rise (Fretwell et al., 201350), although the loss of a large fraction of this potential would require millennia of ice sheet retreat.",HTML,Greenland,"(38, 47)",1
277,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"An example is the large change in ocean productivity triggered by the changes in circulation and iron inputs induced by the large outflow of melt waters from Greenland (Kanna et al., 201883).",HTML,Greenland,"(158, 167)",1
329,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"1.4.2 Observed and Projected Changes in the Cryosphere     Changes in the cryosphere documented in AR5 included the widespread retreat of glaciers (high confidence), mass loss from the Greenland and Antarctic ice sheets (high confidence) and declining extents of Arctic sea ice (very high confidence) and Northern Hemisphere spring snow cover (very high confidence; IPCC, 2013103; Vaughan et al., 2013104).",HTML,Greenland,"(185, 194)",1
333,/content/ipcc/srocc_chap_01/sections/fulltext.flow.html,"AR5 assessed that the annual mean loss from the Greenland ice sheet very likely substantially increased from 34 (-6–74) Gt yr–1 (billion tonnes yr-1) over the period 1992–2001, to 215 (157–274) Gt yr–1 over the period 2002–2011 (IPCC, 2013).",HTML,Greenland,"(48, 57)",1
