,file_path,sentence,section,0,0_span,weight_0,1,1_span,weight_1
3,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Duvat (France) Tamsin Edwards (United Kingdom) Alexey Ekaykin (Russia) Donald Forbes (Canada) James Ford (United Kingdom) Miguel D. Fortes (Philippines) Thomas Frederikse (Netherlands) Jean-Pierre Gattuso (France) Robert Kopp (United States) Erwin Lambert (Netherlands) Judy Lawrence (New Zealand) Andrew Mackintosh (Australia, New Zealand) Angélique Melet (France) Elizabeth McLeod (United States) Mark Merrifield (United States) Siddharth Narayan (United States) Robert J. Nicholls (United States) Fabrice Renaud (United Kingdom) Jonathan Simm (United Kingdom) AJ Smit (South Africa) Catherine Sutherland (South Africa) Nguyen Minh Tu (Vietnam) Jon Woodruff (United States) Poh Poh Wong (Singapore) Siyuan Xian (United States)    Review Editors:  Ayako Abe-Ouchi (Japan) Kapil Gupta (India) Joy Pereira (Malaysia)    Chapter Scientist:  Maya K. Buchanan (United States)        FAQ 4.1: What challenges does the inevitability of sea level rise present to coastal communities and how can communities adapt?",HTML,"Japan, New Zealand, Singapore, Canada, Vietnam, France, South Africa, United Kingdom, Australia, Russia, Netherlands, Malaysia, India, Philippines","(766, 771), (285, 296), (690, 699), (86, 92), (638, 645), (7, 13), (572, 584), (31, 45), (317, 326), (63, 69), (172, 183), (806, 814), (786, 791), (140, 151)",14,sea level rise,"(930, 944)",1
588,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"In summary, the agreement between climate model simulations and observations of the global thermal expansion, glacier mass loss and Greenland SMB has improved compared to AR5 for periods starting after 1970.",HTML,Greenland,"(132, 141)",1,climate model,"(34, 47)",1
1381,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"For Greenland, surface warming may lead to ablation becoming larger than accumulation, and the associated surface lowering increases ablation further (positive feedback).",HTML,Greenland,"(4, 13)",1,feedback,"(160, 168)",1
1421,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"(2016) addresses the evolution of the ice sheets over the next 10,000 years and concludes that given a climate model with an equilibrium climate sensitivity of 3.5°C, the estimated combined loss of Greenland and Antarctica ranges from 25–52 m of equivalent sea level, depending on the emission scenario considered, with rates of GMSL as high as 2–4 m per century.",HTML,Greenland,"(198, 207)",1,"climate sensitivity, climate model","(137, 156), (103, 116)",2
1525,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Recent activities include integrating SLR risks within adaptation planning for social-ecological systems, with special focus on coastal urban areas, agriculture, migration and other human security dimensions (Government of Egypt, 2016866; UNDP, 2017867).",HTML,Egypt,"(223, 228)",1,adaptation,"(55, 65)",1
1562,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Examples include the use of i) the sustainable livelihood approach and resource dependence metrics for Australian coastal communities (Metcalf et al., 2015915), ii) integration of local climate forecasts for coral reef fisheries in Papua New Guinea (Maina et al., 2016916), iii) ecosystem supply-demand model for an integrated vulnerability assessment in Rostock, Germany (Beichler, 2015917), iv) participatory indicator development for multiple hazards in river deltas (Hagenlocher et al., 2018918), and v) human-nature dependencies and ecosystem services for small‐scale fisheries in French Polynesia (Thiault et al., 2018919).",HTML,"Guinea, Papua New Guinea, French Polynesia, Germany","(242, 248), (232, 248), (586, 602), (364, 371)",4,ecosystem services,"(538, 556)",1
2210,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"In parallel, EbA measures are increasingly being incorporated and required within national plans, strategies and targets (Lo, 2016), international adaptation funding mechanisms, such as the Adaptation Fund (AF; e.g., in Sri Lanka and India; Epple et al., 20161658), and national natural capital valuations (Beck and Lange, 20161659).",HTML,"Sri Lanka, India","(220, 229), (234, 239)",2,adaptation,"(147, 157)",1
2473,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Land use planning for climate adaptation can exacerbate sociospatial inequalities at the local level, as illustrated in a study of eight cities, namely Boston (USA), New Orleans (USA), Medellin (Colombia), Santiago (Chile), Metro Manila (Philippines), Jakarta (Indonesia), Surat (India), and Dhaka (Bangladesh; Anguelovski et al., 2016).",HTML,"Chile, Indonesia, Bangladesh, Colombia, India, Philippines","(216, 221), (261, 270), (299, 309), (195, 203), (280, 285), (238, 249)",6,adaptation,"(30, 40)",1
2475,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"In Bangladesh, some adaptation practices have enabled land capture by elites, public servants, the military and roving gangs, and resulted in various forms of marginalisation that compound vulnerability and risk (Sovacool, 2018); a reality also faced by many other coastal communities around the world (Sovacool et al., 2015).",HTML,Bangladesh,"(3, 13)",1,adaptation,"(20, 30)",1
2652,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Many adaptation options and pathways were assessed for their ability to reduce risk exposure and maintain flexibility for switching pathways over a 100-year timeframe, which is the planning timeframe mandated by the New Zealand Coastal Policy Statement (Minister of Conservation, 2010) with the force of law under the Resource Management Act, 1991.",HTML,New Zealand,"(216, 227)",1,adaptation,"(5, 15)",1
2673,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Lessons include:  Develop shared coastal visions (Tuts et al.,2015; Brown et al., 2016; OECD, 2019) Use participatory planning processes that respect and reconcile different values, belief systems and cultures (Flynn et al., 2018) Address power imbalances and human development imperatives (Broto et al., 2015; Butler et al., 2016a)   Long-term adaptation pathways have been developed in New Zealand using ‘serious games’ (Flood et al., 2018) and hybrid processes to integrate decision analysis methods (Section 4.4.2) with public participation and planning (Section 4.4.3) (Cradock-Henry et al., 2018; Lawrence et al., 2019).",HTML,New Zealand,"(388, 399)",1,adaptation,"(345, 355)",1
2674,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Lessons include:   Develop enabling national guidance, policy and legislation that requires a long-term focus (e.g., 100 years) and prioritises measures to minimise risk escalation Secure buy-in from key governance actors Involve coastal stakeholders in adaptation planning Draw on local, indigenous and scientific knowledges      Avoid new development commitments in high-risk locations (Section 4.4.3) (medium evidence, high agreement) (Hurlimann and March, 2012; Glavovic and Smith, 2014; Hurlimann et al., 2014; Tuts et al., 2015; Berke and Stevens, 2016; Butler et al., 2016b; OECD, 2019)   Spatial planning to regulate development at risk from SLR is underway in many locations, including Victoria, Australia (Hurlimann et al., 2014) and Florida, USA (Butler et al., 2016a; Vella et al., 2016).",HTML,Australia,"(705, 714)",1,adaptation,"(254, 264)",1
2682,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"(Dyckman et al., 2014; Glavovic and Smith, 2014;  Dutra et al., 2015; Ensor and Harvey, 2015; Chu et al., 2018; McFadgen and Huitema, 2018; Mazeka, 2019; Wolfram et al., 2019)  Innovation is underway to enhance social learning, reflexivity and coalition building (Chu et al., 2018; Bellinson and Chu, 2019; Wolfram et al., 2019), e.g., Surat, India (Chu, 2016a; Chu, 2016b), Santos, Brazil (Marengo et al., 2019), Portland, USA (Fink, 2019), and port cities in Europe and East Asia (Blok and Tschötschel, 2016), In Surat, for example, adaptation experiments created valuable arenas for engaging governance actors and stakeholders, understanding climate and development co-benefits, and testing new ideas (Chu, 2016b).",HTML,"Brazil, India","(383, 389), (343, 348)",2,adaptation,"(535, 545)",1
2683,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Lessons include:  Design experiments to account for how local political economic factors shape adaptation, for example, understanding local history and politics reveals how adaptation trade-offs are made in city decision making Ensure experiments generate socioeconomic benefits and climate-development co-benefits   Accelerate social learning and governance innovations through transnational municipal networks together with local efforts (Hughes et al., 2018), with processes developed and institutionalised through political negotiation, e.g., Rotterdam, Netherlands, and Berkeley, USA (Bellinson and Chu, 2019).",HTML,Netherlands,"(558, 569)",1,adaptation,"(95, 105)",1
2685,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"(Eriksen et al., 2015; Sovacool et al., 2015; Tuts et al., 2015; Adger et al., 2017; Hardy et al., 2017; Holland, 2017; Dolšak and Prakash, 2018; Finkbeiner et al., 2018; Sovacool, 2018; Warner et al., 2018b; OECD, 2019) Rights-based approach to participatory adaptation planning in Maputo, Mozambique, fosters a more inclusive and potentially fairer city (Broto et al., 2015).",HTML,Mozambique,"(291, 301)",1,adaptation,"(260, 270)",1
2686,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Lessons include:   Expose drivers of structural inequity and vulnerability  Link adaptation and human development imperatives Raise awareness and public support for adaptation with equity  Race-aware adaptation planning can reveal racial inequalities and overcome passive indifference as shown in, for example, Sapelo Island, Georgia, USA (Hardy et al., 2017).",HTML,Georgia,"(326, 333)",1,adaptation,"(81, 91)",1
2696,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"(Burton and Mustelin, 2013; Berke and Stevens, 2016; Gorddard et al., 2016; Webler et al., 2016; Schlosberg et al., 2017; Kirshen et al., 2018; Lawrence et al., 2018; Mehring et al., 2018; Nkoana et al., 2018; Schernewski et al., 2018; Yusuf et al., 2018b; Uittenbroek et al., 2019) Public participation has been foundational for South Africa’s coastal management, risk reduction and adaptation efforts since 1994 (Celliers et al., 2013; Daron and Colenbrander, 2015; Desportes and Colenbrander, 2016; Glavovic et al., 2018; Colenbrander, 2019).",HTML,South Africa,"(330, 342)",1,adaptation,"(384, 394)",1
3102,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Dahl-Jensen, D. et al., 2013: Eemian interglacial reconstructed from a Greenland folded ice core.",HTML,Greenland,"(75, 84)",1,ice core,"(92, 100)",1
3111,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Dahl-Jensen, D. et al., 2013: Eemian interglacial reconstructed from a Greenland folded ice core.",HTML,Greenland,"(75, 84)",1,ice core,"(92, 100)",1
3118,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"Punge and D. Salas y Mélia, 2013: Greenland ice sheet contribution to sea level rise during the last interglacial period: a modelling study driven and constrained by ice core data.",HTML,Greenland,"(34, 43)",1,"ice core, sea level rise","(166, 174), (70, 84)",2
4153,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"et al., 2013: Enhanced basal lubrication and the contribution of the Greenland ice sheet to future sea level rise.",HTML,Greenland,"(69, 78)",1,sea level rise,"(99, 113)",1
4155,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Edwards, T. et al., 2014: Effect of uncertainty in surface mass balance-elevation feedback on projections of the future sea level contribution of the Greenland ice sheet.",HTML,Greenland,"(154, 163)",1,feedback,"(86, 94)",1
4177,/content/ipcc/srocc_chap_04/sections/fulltext.flow.html,"↩   Edwards, T. et al., 2014: Effect of uncertainty in surface mass balance-elevation feedback on projections of the future sea level contribution of the Greenland ice sheet.",HTML,Greenland,"(154, 163)",1,feedback,"(86, 94)",1
